Rainfall,Evaporation,Sunshine,WindGustSpeed,Humidity3pm,Pressure3pm,Cloud3pm,Temp3pm,RainToday,RainTomorrow
0.0,6.2,8.5,39.0,50.0,1010.4,7.0,30.9,False,False
0.0,6.4,10.5,52.0,57.0,1010.8,5.0,30.0,False,False
0.0,6.8,10.4,43.0,47.0,1009.4,3.0,31.9,False,False
0.0,6.8,10.3,37.0,59.0,1009.0,1.0,30.1,False,False
0.0,8.2,10.4,35.0,54.0,1009.1,1.0,30.8,False,False
0.0,7.2,9.3,33.0,63.0,1008.7,4.0,28.8,False,False
0.0,4.6,10.6,33.0,57.0,1007.9,1.0,30.5,False,False
0.0,6.2,10.5,33.0,55.0,1008.1,3.0,31.5,False,False
0.0,7.0,10.3,48.0,30.0,1009.7,1.0,32.4,False,False
0.0,8.0,9.9,52.0,24.0,1008.5,8.0,32.6,False,False
0.0,6.4,10.3,33.0,50.0,1009.2,1.0,30.9,False,False
0.0,7.6,10.8,35.0,53.0,1008.7,1.0,30.1,False,False
0.0,5.8,9.4,31.0,43.0,1011.0,1.0,32.0,False,False
0.0,7.8,10.4,35.0,56.0,1010.9,4.0,31.6,False,False
0.0,7.6,1.1,28.0,61.0,1011.3,7.0,29.6,False,False
0.0,4.0,10.2,31.0,52.0,1009.7,1.0,31.2,False,False
0.0,7.0,10.2,39.0,61.0,1010.8,1.0,30.6,False,False
0.0,6.4,9.0,44.0,42.0,1010.1,6.0,32.9,False,False
0.0,7.8,9.8,35.0,51.0,1009.8,1.0,32.0,False,False
0.0,8.0,10.7,39.0,56.0,1009.8,2.0,31.2,False,False
0.0,7.0,10.7,37.0,42.0,1009.0,1.0,32.7,False,False
0.0,7.8,9.7,33.0,39.0,1009.4,1.0,32.0,False,False
0.0,7.2,8.3,39.0,55.0,1010.3,2.0,30.8,False,True
5.2,7.0,2.9,35.0,43.0,1010.7,6.0,32.4,True,False
0.0,12.2,9.9,46.0,34.0,1010.1,4.0,32.5,False,False
0.0,11.0,10.5,37.0,45.0,1010.8,3.0,31.8,False,False
0.0,8.2,9.0,35.0,42.0,1010.9,4.0,31.5,False,False
0.0,6.6,9.8,35.0,50.0,1010.9,2.0,31.6,False,False
0.0,6.8,10.5,35.0,52.0,1009.0,1.0,30.9,False,False
0.0,7.0,10.7,37.0,43.0,1009.1,1.0,32.0,False,False
0.0,7.6,9.8,33.0,41.0,1009.9,3.0,32.5,False,False
0.0,8.0,11.9,41.0,53.0,1010.4,1.0,32.4,False,False
0.0,7.6,10.2,39.0,44.0,1009.9,3.0,33.4,False,False
0.0,7.2,7.5,37.0,51.0,1009.6,4.0,32.8,False,False
0.0,7.2,8.8,31.0,50.0,1010.2,3.0,32.2,False,False
0.0,7.0,10.4,50.0,40.0,1008.9,2.0,34.4,False,False
0.0,7.6,10.3,57.0,55.0,1008.8,3.0,32.6,False,True
18.8,10.2,9.4,35.0,48.0,1008.9,2.0,33.6,True,False
0.0,5.6,0.9,31.0,55.0,1009.7,4.0,32.7,False,False
0.0,5.0,10.4,46.0,52.0,1010.4,2.0,32.9,False,False
0.0,9.2,9.6,41.0,61.0,1009.6,5.0,32.0,False,False
0.0,6.8,10.2,35.0,59.0,1008.8,2.0,32.6,False,False
1.0,7.0,10.4,39.0,60.0,1008.0,3.0,32.8,False,False
0.0,7.6,8.1,41.0,54.0,1008.4,5.0,32.6,False,True
57.6,12.4,5.5,102.0,48.0,1008.2,6.0,34.0,True,True
13.8,9.8,9.1,31.0,63.0,1006.2,2.0,31.4,True,False
0.4,5.6,1.6,54.0,75.0,1007.5,7.0,28.9,False,True
25.4,4.4,8.7,46.0,48.0,1008.9,4.0,32.6,True,False
0.0,7.0,11.5,37.0,48.0,1009.2,2.0,32.6,False,False
0.0,10.4,11.3,41.0,51.0,1007.5,1.0,33.0,False,False
0.0,7.6,11.2,39.0,56.0,1007.3,5.0,33.2,False,False
0.0,7.6,11.4,63.0,20.0,1006.5,1.0,36.5,False,False
0.0,7.6,11.4,56.0,41.0,1007.6,1.0,34.4,False,False
0.0,7.6,11.2,37.0,44.0,1009.8,1.0,33.0,False,False
0.0,7.6,10.9,35.0,53.0,1008.7,4.0,32.5,False,False
0.0,7.6,11.3,33.0,46.0,1007.6,5.0,32.8,False,False
0.0,7.6,9.2,41.0,36.0,1009.0,7.0,33.1,False,False
0.0,7.6,9.9,39.0,41.0,1010.0,7.0,31.7,False,False
0.0,7.6,8.8,35.0,47.0,1009.8,6.0,32.6,False,False
0.0,7.6,8.8,35.0,48.0,1010.9,7.0,32.7,False,False
0.0,7.6,10.7,39.0,49.0,1009.0,5.0,33.2,False,False
0.0,7.6,11.5,35.0,41.0,1009.4,1.0,33.7,False,True
4.4,7.6,9.7,41.0,44.0,1009.1,2.0,33.5,True,False
0.0,7.6,10.1,30.0,57.0,1009.3,5.0,32.3,False,False
0.0,7.6,10.4,35.0,53.0,1007.6,1.0,31.9,False,False
0.2,7.6,10.4,33.0,53.0,1006.7,3.0,32.4,False,False
0.0,7.6,10.6,37.0,51.0,1005.8,2.0,33.2,False,False
0.0,7.6,10.8,33.0,41.0,1005.9,3.0,34.0,False,False
0.0,7.6,10.8,52.0,50.0,1005.7,3.0,34.0,False,False
0.0,7.8,8.5,30.0,54.0,1007.2,7.0,33.1,False,False
0.6,7.2,2.8,39.0,62.0,1007.9,7.0,30.4,False,False
0.4,4.4,4.4,33.0,62.0,1006.5,7.0,31.9,False,False
0.0,4.2,5.3,30.0,56.0,1005.3,6.0,32.2,False,False
0.0,7.0,11.1,33.0,45.0,1007.1,7.0,33.3,False,False
0.0,7.4,11.7,39.0,42.0,1006.0,2.0,34.7,False,False
0.0,8.2,9.6,37.0,43.0,1005.2,2.0,33.9,False,False
0.0,7.4,8.7,28.0,46.0,1005.3,5.0,34.0,False,False
0.0,7.2,10.2,33.0,50.0,1004.3,2.0,33.5,False,False
0.0,6.8,2.2,33.0,91.0,1006.4,7.0,25.9,False,True
7.8,1.6,10.2,28.0,57.0,1006.0,3.0,33.3,True,True
9.2,6.6,7.4,37.0,51.0,1004.8,3.0,34.1,True,False
0.0,6.4,2.1,37.0,87.0,1006.0,8.0,26.7,False,True
5.6,1.8,4.2,35.0,60.0,1003.3,7.0,33.3,True,False
0.0,4.4,10.8,43.0,50.0,1003.7,7.0,34.6,False,False
0.0,9.2,9.4,43.0,57.0,1004.2,6.0,34.5,False,False
0.0,8.2,6.8,39.0,71.0,1004.4,7.0,31.7,False,False
0.0,5.4,3.2,30.0,58.0,1005.0,7.0,33.3,False,False
0.0,6.4,6.8,37.0,54.0,1006.3,6.0,33.4,False,False
0.0,6.8,3.7,33.0,62.0,1007.6,7.0,32.3,False,True
1.8,7.6,5.9,56.0,61.0,1007.7,7.0,33.8,True,True
24.6,6.6,4.1,39.0,63.0,1008.7,6.0,31.4,True,False
0.0,3.6,7.9,52.0,58.0,1005.9,7.0,33.9,False,True
1.8,5.8,7.1,35.0,77.0,1005.8,7.0,30.7,True,True
2.6,4.2,10.4,35.0,58.0,1004.9,5.0,33.9,True,False
0.0,6.2,5.1,30.0,90.0,1008.9,7.0,26.5,False,True
12.6,5.4,10.8,31.0,60.0,1007.6,7.0,32.6,True,False
0.0,6.6,7.6,54.0,59.0,1006.6,7.0,32.7,False,True
7.2,5.2,5.2,37.0,66.0,1006.8,7.0,30.8,True,False
0.0,4.0,6.5,41.0,56.0,1006.4,7.0,33.4,False,False
0.0,7.6,4.0,39.0,66.0,1006.2,7.0,31.2,False,True
27.2,6.6,8.8,50.0,64.0,1005.7,5.0,32.6,True,True
6.8,8.0,6.5,43.0,66.0,1004.1,7.0,30.3,True,False
0.6,4.6,6.7,41.0,76.0,1005.0,7.0,29.4,False,True
2.8,6.0,3.9,31.0,76.0,1005.1,7.0,30.1,True,True
8.8,3.8,5.5,31.0,89.0,1004.7,8.0,27.0,True,True
14.8,4.0,3.7,37.0,90.0,1004.3,7.0,26.6,True,True
44.8,10.4,2.0,44.0,76.0,1004.7,6.0,28.5,True,True
28.0,5.6,0.2,35.0,87.0,1005.7,8.0,26.7,True,True
10.4,2.8,0.0,43.0,95.0,1004.6,8.0,24.9,True,True
36.6,7.8,0.0,61.0,89.0,1003.0,8.0,27.0,True,True
50.0,5.0,0.1,33.0,82.0,1004.8,8.0,27.7,True,True
13.4,3.0,3.1,37.0,70.0,1004.1,7.0,30.8,True,True
1.2,4.0,3.6,37.0,65.0,1006.1,7.0,31.2,True,False
0.0,3.6,11.1,41.0,62.0,1004.6,4.0,32.2,False,True
3.6,8.0,3.0,39.0,72.0,1005.4,7.0,29.9,True,False
0.4,4.8,8.7,26.0,59.0,1005.8,7.0,31.7,False,False
0.0,4.4,7.7,31.0,61.0,1005.0,7.0,32.1,False,True
3.0,4.8,7.7,33.0,59.0,1003.9,7.0,32.8,True,True
12.4,5.6,4.0,37.0,62.0,1003.8,7.0,31.1,True,False
0.0,4.0,1.1,54.0,96.0,1005.1,8.0,23.7,False,True
22.2,3.8,0.1,50.0,75.0,1002.5,7.0,29.3,True,True
14.6,6.4,0.2,43.0,74.0,1001.2,7.0,29.2,True,True
2.4,4.2,3.4,39.0,72.0,1002.2,7.0,30.5,True,False
0.0,5.2,7.0,43.0,61.0,1003.0,7.0,31.8,False,True
2.0,6.0,5.6,48.0,71.0,1002.9,7.0,30.7,True,True
15.0,5.6,5.4,48.0,80.0,1004.2,7.0,30.4,True,True
24.2,6.6,3.1,44.0,85.0,1004.5,7.0,27.5,True,True
6.0,3.0,8.0,39.0,64.0,1004.0,7.0,32.2,True,False
0.0,7.2,11.4,43.0,65.0,1004.8,7.0,32.1,False,False
0.0,7.2,5.9,50.0,70.0,1004.0,8.0,30.6,False,False
0.0,7.4,1.3,74.0,69.0,1002.5,7.0,29.6,False,True
10.4,4.6,2.7,52.0,69.0,1001.1,7.0,30.8,True,True
9.8,3.0,9.6,43.0,65.0,1004.5,3.0,31.6,True,False
0.0,6.6,11.3,39.0,66.0,1006.2,5.0,32.4,False,False
0.0,6.8,10.2,35.0,62.0,1005.5,7.0,32.6,False,True
7.4,6.4,0.9,48.0,85.0,1007.2,7.0,26.7,True,True
7.0,3.2,0.0,65.0,59.0,1003.8,6.0,29.1,True,True
53.0,8.2,7.2,35.0,72.0,1005.7,7.0,29.5,True,False
0.0,6.2,3.8,30.0,85.0,1006.2,7.0,28.0,False,False
0.4,3.0,5.9,31.0,67.0,1005.8,7.0,31.0,False,False
0.0,5.6,6.1,35.0,56.0,1005.4,7.0,32.1,False,True
1.6,3.8,8.2,44.0,59.0,1006.7,7.0,32.1,True,True
14.4,7.4,6.8,35.0,61.0,1006.4,7.0,31.4,True,True
8.8,6.6,1.7,28.0,85.0,1006.4,8.0,28.6,True,True
81.0,7.8,4.7,28.0,58.0,1006.5,7.0,31.5,True,False
0.0,4.0,7.6,33.0,68.0,1006.9,7.0,30.6,False,True
4.4,7.4,1.1,43.0,80.0,1006.6,7.0,28.9,True,True
53.4,4.6,7.3,33.0,68.0,1006.0,6.0,31.0,True,False
0.4,4.8,4.6,39.0,65.0,1005.2,7.0,30.9,False,True
2.2,5.2,0.8,56.0,85.0,1004.4,8.0,27.4,True,True
17.0,5.4,2.8,65.0,86.0,1003.5,8.0,26.2,True,True
41.4,9.4,2.3,69.0,70.0,1000.2,7.0,30.5,True,True
48.8,9.2,1.5,63.0,66.0,1000.8,7.0,31.1,True,True
2.4,4.2,4.3,59.0,72.0,1002.4,6.0,29.8,True,True
3.4,6.2,8.0,54.0,67.0,1001.1,6.0,31.2,True,False
0.4,9.0,7.3,50.0,64.0,1001.3,7.0,30.9,False,True
8.6,8.2,7.5,50.0,63.0,1001.7,8.0,31.2,True,False
0.6,7.0,7.7,50.0,70.0,1001.8,7.0,30.0,False,True
2.0,5.6,1.9,56.0,69.0,1001.5,7.0,30.0,True,True
95.8,16.8,1.1,70.0,89.0,1003.2,8.0,26.8,True,True
9.8,4.0,1.8,61.0,78.0,1004.2,7.0,29.2,True,True
48.8,4.2,0.4,48.0,79.0,1003.3,8.0,29.1,True,True
36.8,5.4,3.2,35.0,68.0,1001.9,7.0,30.7,True,True
8.4,4.0,1.1,35.0,79.0,1003.5,7.0,29.2,True,False
1.0,2.4,0.4,28.0,70.0,1004.8,7.0,30.7,False,True
9.8,3.6,0.3,35.0,79.0,1006.2,8.0,28.5,True,True
12.6,2.2,4.2,39.0,75.0,1006.6,7.0,29.2,True,True
18.4,2.4,7.2,31.0,68.0,1005.7,6.0,30.9,True,True
24.2,8.2,0.0,33.0,97.0,1005.8,8.0,24.6,True,True
90.4,7.8,5.4,46.0,70.0,1003.9,6.0,30.2,True,True
53.2,4.6,7.9,33.0,70.0,1004.1,5.0,30.2,True,False
0.0,6.4,8.4,35.0,64.0,1005.3,2.0,32.2,False,False
0.2,5.0,10.8,35.0,66.0,1006.0,1.0,31.4,False,False
0.0,7.0,5.7,56.0,67.0,1003.9,7.0,32.5,False,True
8.0,6.2,1.6,39.0,87.0,1003.7,7.0,25.9,True,True
4.8,2.0,3.2,39.0,72.0,1003.3,7.0,30.2,True,True
3.2,3.4,2.8,35.0,73.0,1002.2,7.0,30.2,True,True
15.2,4.2,2.1,35.0,77.0,1002.9,7.0,29.4,True,True
1.6,2.8,4.0,43.0,69.0,1004.5,7.0,30.9,True,True
35.8,5.0,1.9,30.0,79.0,1005.4,7.0,28.5,True,False
0.4,1.6,3.2,33.0,89.0,1006.6,7.0,26.0,False,True
7.0,4.0,9.9,31.0,71.0,1005.6,5.0,30.2,True,False
0.0,5.6,3.9,24.0,85.0,1006.1,5.0,28.0,False,True
19.0,3.0,3.1,20.0,73.0,1006.6,7.0,30.4,True,False
0.6,2.8,3.3,30.0,64.0,1007.2,5.0,31.5,False,False
0.0,3.2,10.3,28.0,66.0,1007.5,3.0,32.7,False,True
2.6,7.6,10.7,33.0,45.0,1006.2,7.0,34.3,True,False
0.0,6.4,8.4,30.0,37.0,1006.3,6.0,33.3,False,False
0.0,6.2,10.1,35.0,59.0,1005.5,6.0,32.3,False,False
0.0,7.0,9.3,35.0,60.0,1006.3,1.0,32.3,False,False
0.0,6.6,11.1,39.0,61.0,1006.6,3.0,32.9,False,False
0.0,7.2,9.1,50.0,65.0,1006.2,6.0,32.3,False,True
5.4,5.0,8.0,69.0,70.0,1006.3,6.0,30.9,True,True
1.2,6.4,7.9,59.0,62.0,1006.9,6.0,32.6,True,True
13.4,5.4,1.7,50.0,62.0,1006.8,7.0,31.1,True,True
19.8,6.2,6.2,57.0,82.0,1005.7,8.0,28.9,True,True
16.2,2.0,4.8,39.0,70.0,1006.4,7.0,31.0,True,True
12.8,3.8,9.6,100.0,62.0,1005.8,5.0,32.0,True,True
8.6,5.8,10.7,31.0,25.0,1005.8,5.0,34.6,True,False
0.0,6.0,10.7,30.0,28.0,1006.1,6.0,33.8,False,False
0.0,8.4,11.1,37.0,29.0,1006.3,3.0,34.6,False,False
0.0,6.2,10.3,39.0,59.0,1006.5,1.0,32.9,False,False
0.0,8.0,10.7,39.0,58.0,1007.0,1.0,33.3,False,False
0.0,7.6,7.0,33.0,63.0,1008.3,7.0,31.9,False,False
0.6,4.2,8.2,56.0,69.0,1007.8,6.0,31.9,False,False
1.0,5.6,10.3,31.0,61.0,1008.5,3.0,31.4,False,True
7.4,7.0,4.1,48.0,50.0,1009.6,7.0,31.7,True,False
0.0,4.2,5.2,39.0,49.0,1009.1,7.0,31.5,False,False
0.0,6.8,10.7,50.0,39.0,1007.5,4.0,32.4,False,False
0.0,6.6,7.5,37.0,43.0,1007.5,6.0,32.3,False,False
0.0,8.4,8.1,48.0,41.0,1008.1,2.0,32.3,False,False
0.0,7.2,4.4,41.0,45.0,1007.4,3.0,33.2,False,False
0.0,7.4,10.8,39.0,35.0,1007.4,2.0,33.5,False,False
0.0,6.2,10.8,30.0,58.0,1008.5,3.0,31.8,False,False
0.0,6.4,10.9,30.0,56.0,1009.0,1.0,32.2,False,False
0.0,5.8,10.5,30.0,57.0,1008.6,2.0,31.9,False,False
0.0,6.2,9.5,35.0,68.0,1007.6,3.0,28.8,False,True
3.8,6.0,7.1,63.0,79.0,1006.6,6.0,27.6,True,True
17.8,7.0,6.2,93.0,67.0,1008.0,6.0,30.3,True,True
22.6,7.0,10.6,33.0,68.0,1008.0,7.0,30.9,True,True
7.2,6.0,3.2,41.0,59.0,1007.8,6.0,31.2,True,False
0.2,3.4,10.5,31.0,51.0,1007.2,7.0,32.6,False,False
0.0,5.0,10.4,37.0,56.0,1007.6,3.0,32.4,False,False
0.0,5.6,10.8,31.0,48.0,1006.9,4.0,33.7,False,False
0.0,6.0,10.8,33.0,49.0,1005.5,6.0,33.4,False,False
0.0,6.0,10.7,26.0,46.0,1005.8,5.0,34.4,False,True
6.2,6.2,9.5,52.0,64.0,1005.7,7.0,32.8,True,True
2.8,4.8,3.1,31.0,90.0,1006.3,8.0,26.8,True,True
2.6,2.4,4.3,33.0,72.0,1006.2,7.0,31.6,True,False
0.0,3.4,7.0,44.0,44.0,1007.1,7.0,34.7,False,False
0.4,6.2,2.7,39.0,50.0,1006.8,7.0,31.9,False,False
0.0,4.4,9.2,30.0,41.0,1005.4,7.0,33.9,False,False
0.0,6.2,10.7,41.0,36.0,1006.6,6.0,33.3,False,False
0.0,6.0,10.8,37.0,34.0,1007.5,7.0,33.8,False,False
0.0,4.0,9.0,33.0,49.0,1008.5,6.0,32.6,False,False
0.0,7.6,8.8,28.0,54.0,1007.9,5.0,32.2,False,False
0.0,5.4,10.4,30.0,58.0,1007.9,7.0,32.2,False,False
0.0,5.8,10.6,35.0,38.0,1008.5,6.0,34.4,False,False
0.0,6.2,3.4,28.0,47.0,1010.4,7.0,31.9,False,False
0.0,4.6,10.9,41.0,25.0,1010.5,3.0,32.9,False,False
0.0,8.6,11.0,39.0,25.0,1009.8,1.0,33.0,False,False
0.0,7.4,10.9,41.0,26.0,1008.7,3.0,33.2,False,False
0.0,6.4,8.1,37.0,39.0,1009.1,6.0,33.2,False,False
0.0,8.8,9.3,50.0,39.0,1009.4,6.0,33.1,False,False
0.0,7.8,8.4,48.0,39.0,1010.0,7.0,32.4,False,False
0.0,7.4,10.4,50.0,36.0,1009.8,3.0,33.1,False,False
0.0,8.0,8.2,52.0,39.0,1010.1,7.0,33.6,False,False
0.0,7.2,2.6,39.0,53.0,1010.6,7.0,30.6,False,False
0.0,7.6,3.0,48.0,26.0,1009.6,6.0,30.9,False,False
0.0,8.4,1.5,39.0,47.0,1009.4,7.0,29.5,False,False
0.0,4.4,7.1,39.0,46.0,1008.9,6.0,31.9,False,False
0.0,6.8,7.6,46.0,40.0,1008.4,3.0,32.8,False,False
0.0,6.0,10.6,44.0,33.0,1007.8,7.0,33.2,False,False
0.0,8.0,10.9,43.0,24.0,1007.9,2.0,31.5,False,False
0.0,8.0,9.8,35.0,24.0,1006.9,6.0,30.3,False,False
0.0,8.0,10.9,39.0,34.0,1006.5,1.0,31.8,False,False
0.0,10.2,10.6,41.0,38.0,1007.8,2.0,32.6,False,False
0.0,6.2,10.7,50.0,36.0,1008.8,2.0,33.5,False,False
0.0,8.0,11.0,43.0,44.0,1007.2,1.0,32.8,False,False
0.0,5.8,8.2,35.0,57.0,1007.6,4.0,31.5,False,False
0.0,5.6,7.0,33.0,68.0,1007.6,5.0,30.3,False,False
0.4,3.2,10.1,35.0,55.0,1008.2,5.0,30.8,False,False
0.0,5.0,10.3,35.0,33.0,1009.5,4.0,31.6,False,False
0.0,5.8,10.9,31.0,18.0,1009.3,1.0,31.8,False,False
0.0,6.8,10.6,30.0,47.0,1008.3,2.0,29.2,False,False
0.0,5.0,10.5,28.0,43.0,1008.9,2.0,30.7,False,False
0.0,5.2,10.4,31.0,39.0,1008.8,7.0,30.7,False,False
0.0,4.4,11.0,35.0,39.0,1009.0,1.0,30.4,False,False
0.0,5.6,10.5,37.0,36.0,1008.6,2.0,31.4,False,False
0.0,6.6,9.9,31.0,39.0,1009.3,4.0,31.8,False,False
0.0,7.4,9.3,39.0,40.0,1009.5,3.0,32.5,False,False
0.0,4.0,10.6,35.0,42.0,1010.1,2.0,33.1,False,False
0.0,7.2,10.8,31.0,50.0,1010.6,2.0,31.7,False,False
0.0,4.6,9.7,37.0,28.0,1011.0,7.0,32.7,False,False
0.0,5.6,10.5,46.0,28.0,1011.4,7.0,32.7,False,False
0.0,7.8,7.7,39.0,27.0,1010.5,7.0,31.9,False,False
0.0,6.8,9.2,46.0,26.0,1010.2,7.0,32.9,False,False
0.0,7.0,10.9,33.0,33.0,1009.9,3.0,32.0,False,False
0.0,5.0,10.3,28.0,56.0,1010.9,1.0,30.1,False,False
0.0,5.2,10.3,30.0,52.0,1009.6,3.0,30.5,False,False
0.0,6.6,10.2,33.0,34.0,1011.3,5.0,31.8,False,False
0.0,5.0,9.9,37.0,32.0,1012.8,5.0,31.3,False,False
0.0,7.2,10.4,44.0,12.0,1013.0,6.0,30.3,False,False
0.0,8.2,9.2,43.0,19.0,1012.6,7.0,27.2,False,False
0.0,7.4,10.3,37.0,25.0,1012.2,0.0,29.3,False,False
0.0,5.0,10.6,28.0,31.0,1011.7,1.0,29.5,False,False
0.0,4.6,10.7,28.0,25.0,1010.2,1.0,31.3,False,False
0.0,6.0,10.3,30.0,36.0,1009.4,0.0,30.8,False,False
0.0,4.0,10.2,44.0,27.0,1011.2,2.0,31.5,False,False
0.0,7.0,10.7,44.0,19.0,1013.3,2.0,31.1,False,False
0.0,7.6,10.7,41.0,20.0,1013.4,1.0,28.4,False,False
0.0,7.2,10.5,33.0,21.0,1011.7,1.0,27.8,False,False
0.0,6.8,10.5,31.0,18.0,1011.0,3.0,29.6,False,False
0.0,5.8,9.4,28.0,27.0,1010.4,5.0,29.8,False,False
0.0,5.4,7.2,35.0,34.0,1009.9,7.0,30.5,False,False
0.0,4.0,5.0,39.0,35.0,1009.8,5.0,31.2,False,False
0.0,5.4,10.5,37.0,30.0,1009.8,0.0,32.1,False,False
0.0,6.0,10.5,31.0,51.0,1009.6,1.0,31.0,False,False
0.0,6.2,10.2,31.0,59.0,1010.2,1.0,29.3,False,False
0.0,4.0,8.8,31.0,56.0,1008.5,1.0,30.3,False,False
0.0,5.0,9.6,35.0,56.0,1009.4,2.0,30.4,False,False
0.0,5.2,10.8,30.0,44.0,1009.5,2.0,31.1,False,False
0.0,4.8,9.3,26.0,59.0,1011.3,6.0,29.8,False,False
0.0,4.4,9.8,46.0,47.0,1009.9,1.0,31.7,False,False
0.0,5.0,10.1,46.0,55.0,1010.7,2.0,29.7,False,False
0.0,5.6,10.7,46.0,54.0,1010.7,1.0,30.7,False,False
0.0,6.2,10.7,41.0,18.0,1011.5,0.0,30.4,False,False
0.0,7.2,10.7,31.0,29.0,1011.4,0.0,28.6,False,False
0.0,7.0,10.7,30.0,31.0,1010.7,0.0,29.3,False,False
0.0,6.0,10.8,37.0,23.0,1010.6,1.0,29.7,False,False
0.0,6.8,10.6,37.0,17.0,1011.0,5.0,29.4,False,False
0.0,7.2,10.8,35.0,15.0,1010.4,4.0,29.1,False,False
